surgery_id,start_time,end_time
S00001,2025-01-01T00:00:00+00:00,2025-01-01T02:50:00+00:00
S00045,2025-01-01T00:00:00+00:00,2025-01-01T05:20:00+00:00
S00054,2025-01-01T00:00:00+00:00,2025-01-01T06:05:00+00:00
S00074,2025-01-01T00:00:00+00:00,2025-01-01T06:05:00+00:00
S00035,2025-01-01T00:00:00+00:00,2025-01-01T08:20:00+00:00
S00064,2025-01-01T00:00:00+00:00,2025-01-01T08:35:00+00:00
S00013,2025-01-01T00:00:00+00:00,2025-01-01T10:00:00+00:00
S00023,2025-01-01T00:00:00+00:00,2025-01-01T10:15:00+00:00
S00002,2025-01-01T02:55:00+00:00,2025-01-01T09:15:00+00:00
S00046,2025-01-01T05:30:00+00:00,2025-01-01T12:40:00+00:00
S00075,2025-01-01T07:30:00+00:00,2025-01-01T11:45:00+00:00
S00055,2025-01-01T08:05:00+00:00,2025-01-01T17:40:00+00:00
S00036,2025-01-01T09:20:00+00:00,2025-01-01T14:15:00+00:00
S00003,2025-01-01T09:55:00+00:00,2025-01-01T15:10:00+00:00
S00065,2025-01-01T10:15:00+00:00,2025-01-01T20:40:00+00:00
S00014,2025-01-01T11:35:00+00:00,2025-01-01T18:00:00+00:00
S00024,2025-01-01T11:45:00+00:00,2025-01-01T14:50:00+00:00
S00076,2025-01-01T13:10:00+00:00,2025-01-01T15:55:00+00:00
S00047,2025-01-01T13:45:00+00:00,2025-01-01T19:55:00+00:00
S00004,2025-01-01T15:35:00+00:00,2025-01-01T18:15:00+00:00
S00025,2025-01-01T15:55:00+00:00,2025-01-01T18:05:00+00:00
S00037,2025-01-01T16:05:00+00:00,2025-01-01T22:15:00+00:00
S00077,2025-01-01T17:40:00+00:00,2025-01-02T00:30:00+00:00
S00015,2025-01-01T18:05:00+00:00,2025-01-01T21:55:00+00:00
S00056,2025-01-01T19:15:00+00:00,2025-01-02T04:15:00+00:00
S00026,2025-01-01T19:35:00+00:00,2025-01-02T02:20:00+00:00
S00005,2025-01-01T20:05:00+00:00,2025-01-01T22:25:00+00:00
S00048,2025-01-01T20:10:00+00:00,2025-01-02T01:10:00+00:00
S00066,2025-01-01T22:05:00+00:00,2025-01-02T03:55:00+00:00
S00016,2025-01-01T23:50:00+00:00,2025-01-02T09:20:00+00:00
S00006,2025-01-02T00:00:00+00:00,2025-01-02T09:30:00+00:00
S00038,2025-01-02T00:10:00+00:00,2025-01-02T02:10:00+00:00
S00078,2025-01-02T02:15:00+00:00,2025-01-02T13:30:00+00:00
S00049,2025-01-02T02:45:00+00:00,2025-01-02T09:55:00+00:00
S00039,2025-01-02T03:50:00+00:00,2025-01-02T07:55:00+00:00
S00027,2025-01-02T04:05:00+00:00,2025-01-02T12:15:00+00:00
S00057,2025-01-02T05:15:00+00:00,2025-01-02T10:25:00+00:00
S00067,2025-01-02T05:25:00+00:00,2025-01-02T06:05:00+00:00
S00068,2025-01-02T07:55:00+00:00,2025-01-02T10:50:00+00:00
S00040,2025-01-02T09:25:00+00:00,2025-01-02T15:05:00+00:00
S00007,2025-01-02T09:40:00+00:00,2025-01-02T10:45:00+00:00
S00017,2025-01-02T10:15:00+00:00,2025-01-02T16:40:00+00:00
S00050,2025-01-02T10:30:00+00:00,2025-01-02T21:35:00+00:00
S00058,2025-01-02T10:50:00+00:00,2025-01-02T22:10:00+00:00
S00008,2025-01-02T11:00:00+00:00,2025-01-02T16:05:00+00:00
S00069,2025-01-02T12:40:00+00:00,2025-01-03T00:35:00+00:00
S00028,2025-01-02T13:50:00+00:00,2025-01-02T18:25:00+00:00
S00079,2025-01-02T15:10:00+00:00,2025-01-02T19:50:00+00:00
S00041,2025-01-02T15:35:00+00:00,2025-01-03T01:55:00+00:00
S00009,2025-01-02T16:45:00+00:00,2025-01-03T04:00:00+00:00
S00018,2025-01-02T17:05:00+00:00,2025-01-02T22:10:00+00:00
S00080,2025-01-02T20:15:00+00:00,2025-01-03T04:40:00+00:00
S00029,2025-01-02T20:20:00+00:00,2025-01-02T22:15:00+00:00
S00030,2025-01-02T22:25:00+00:00,2025-01-03T03:45:00+00:00
S00051,2025-01-02T22:40:00+00:00,2025-01-03T08:55:00+00:00
S00019,2025-01-02T23:05:00+00:00,2025-01-03T01:45:00+00:00
S00059,2025-01-02T23:30:00+00:00,2025-01-03T01:55:00+00:00
S00070,2025-01-03T01:20:00+00:00,2025-01-03T09:05:00+00:00
S00020,2025-01-03T02:00:00+00:00,2025-01-03T10:35:00+00:00
S00060,2025-01-03T02:05:00+00:00,2025-01-03T04:55:00+00:00
S00042,2025-01-03T03:00:00+00:00,2025-01-03T09:15:00+00:00
S00031,2025-01-03T04:35:00+00:00,2025-01-03T06:45:00+00:00
S00081,2025-01-03T05:10:00+00:00,2025-01-03T17:10:00+00:00
S00061,2025-01-03T05:20:00+00:00,2025-01-03T09:10:00+00:00
S00010,2025-01-03T05:40:00+00:00,2025-01-03T06:40:00+00:00
S00032,2025-01-03T07:25:00+00:00,2025-01-03T10:00:00+00:00
S00011,2025-01-03T08:10:00+00:00,2025-01-03T12:50:00+00:00
S00052,2025-01-03T09:20:00+00:00,2025-01-03T15:25:00+00:00
S00071,2025-01-03T09:25:00+00:00,2025-01-03T16:10:00+00:00
S00021,2025-01-03T10:55:00+00:00,2025-01-03T19:00:00+00:00
S00043,2025-01-03T11:00:00+00:00,2025-01-03T16:10:00+00:00
S00062,2025-01-03T11:00:00+00:00,2025-01-03T20:30:00+00:00
S00033,2025-01-03T11:05:00+00:00,2025-01-03T17:30:00+00:00
S00012,2025-01-03T14:45:00+00:00,2025-01-04T00:00:00+00:00
S00053,2025-01-03T15:50:00+00:00,2025-01-03T21:35:00+00:00
S00072,2025-01-03T17:20:00+00:00,2025-01-03T21:10:00+00:00
S00044,2025-01-03T18:00:00+00:00,2025-01-04T00:00:00+00:00
S00082,2025-01-03T18:35:00+00:00,2025-01-03T19:05:00+00:00
S00034,2025-01-03T18:45:00+00:00,2025-01-04T00:00:00+00:00
S00022,2025-01-03T20:00:00+00:00,2025-01-04T00:00:00+00:00
S00083,2025-01-03T20:45:00+00:00,2025-01-04T00:00:00+00:00
S00063,2025-01-03T22:10:00+00:00,2025-01-04T00:00:00+00:00
S00073,2025-01-03T22:25:00+00:00,2025-01-03T22:55:00+00:00
