surgery_id,start_time,end_time
S00180,2025-01-01T00:00:00+00:00,2025-01-01T00:45:00+00:00
S00221,2025-01-01T00:00:00+00:00,2025-01-01T01:00:00+00:00
S00261,2025-01-01T00:00:00+00:00,2025-01-01T01:55:00+00:00
S00058,2025-01-01T00:00:00+00:00,2025-01-01T02:10:00+00:00
S00021,2025-01-01T00:00:00+00:00,2025-01-01T02:15:00+00:00
S00078,2025-01-01T00:00:00+00:00,2025-01-01T02:45:00+00:00
S00282,2025-01-01T00:00:00+00:00,2025-01-01T02:45:00+00:00
S00041,2025-01-01T00:00:00+00:00,2025-01-01T02:55:00+00:00
S00097,2025-01-01T00:00:00+00:00,2025-01-01T03:10:00+00:00
S00300,2025-01-01T00:00:00+00:00,2025-01-01T03:10:00+00:00
S00139,2025-01-01T00:00:00+00:00,2025-01-01T03:30:00+00:00
S00001,2025-01-01T00:00:00+00:00,2025-01-01T03:50:00+00:00
S00201,2025-01-01T00:00:00+00:00,2025-01-01T03:55:00+00:00
S00118,2025-01-01T00:00:00+00:00,2025-01-01T04:10:00+00:00
S00161,2025-01-01T00:00:00+00:00,2025-01-01T04:55:00+00:00
S00242,2025-01-01T00:00:00+00:00,2025-01-01T04:55:00+00:00
S00181,2025-01-01T00:55:00+00:00,2025-01-01T04:30:00+00:00
S00262,2025-01-01T02:25:00+00:00,2025-01-01T07:05:00+00:00
S00022,2025-01-01T03:00:00+00:00,2025-01-01T04:15:00+00:00
S00222,2025-01-01T03:00:00+00:00,2025-01-01T06:25:00+00:00
S00059,2025-01-01T03:15:00+00:00,2025-01-01T05:10:00+00:00
S00283,2025-01-01T03:45:00+00:00,2025-01-01T08:05:00+00:00
S00301,2025-01-01T04:00:00+00:00,2025-01-01T08:00:00+00:00
S00002,2025-01-01T04:10:00+00:00,2025-01-01T04:45:00+00:00
S00079,2025-01-01T04:25:00+00:00,2025-01-01T05:15:00+00:00
S00042,2025-01-01T04:40:00+00:00,2025-01-01T09:35:00+00:00
S00202,2025-01-01T04:45:00+00:00,2025-01-01T07:40:00+00:00
S00119,2025-01-01T04:45:00+00:00,2025-01-01T09:00:00+00:00
S00098,2025-01-01T04:50:00+00:00,2025-01-01T06:20:00+00:00
S00140,2025-01-01T04:50:00+00:00,2025-01-01T06:35:00+00:00
S00023,2025-01-01T04:50:00+00:00,2025-01-01T09:20:00+00:00
S00162,2025-01-01T05:00:00+00:00,2025-01-01T05:55:00+00:00
S00060,2025-01-01T05:25:00+00:00,2025-01-01T07:00:00+00:00
S00182,2025-01-01T05:50:00+00:00,2025-01-01T09:00:00+00:00
S00243,2025-01-01T05:55:00+00:00,2025-01-01T09:30:00+00:00
S00080,2025-01-01T06:20:00+00:00,2025-01-01T08:50:00+00:00
S00163,2025-01-01T06:35:00+00:00,2025-01-01T07:55:00+00:00
S00003,2025-01-01T06:45:00+00:00,2025-01-01T08:40:00+00:00
S00099,2025-01-01T06:45:00+00:00,2025-01-01T09:10:00+00:00
S00223,2025-01-01T06:50:00+00:00,2025-01-01T08:45:00+00:00
S00141,2025-01-01T07:55:00+00:00,2025-01-01T12:40:00+00:00
S00061,2025-01-01T08:35:00+00:00,2025-01-01T12:50:00+00:00
S00203,2025-01-01T08:35:00+00:00,2025-01-01T13:05:00+00:00
S00263,2025-01-01T09:00:00+00:00,2025-01-01T10:00:00+00:00
S00284,2025-01-01T09:00:00+00:00,2025-01-01T11:45:00+00:00
S00164,2025-01-01T09:05:00+00:00,2025-01-01T12:10:00+00:00
S00302,2025-01-01T09:10:00+00:00,2025-01-01T11:20:00+00:00
S00004,2025-01-01T09:20:00+00:00,2025-01-01T11:00:00+00:00
S00224,2025-01-01T09:35:00+00:00,2025-01-01T13:15:00+00:00
S00100,2025-01-01T09:40:00+00:00,2025-01-01T13:00:00+00:00
S00120,2025-01-01T09:50:00+00:00,2025-01-01T12:25:00+00:00
S00024,2025-01-01T10:15:00+00:00,2025-01-01T11:15:00+00:00
S00183,2025-01-01T10:25:00+00:00,2025-01-01T11:45:00+00:00
S00081,2025-01-01T10:30:00+00:00,2025-01-01T13:25:00+00:00
S00043,2025-01-01T10:35:00+00:00,2025-01-01T11:55:00+00:00
S00244,2025-01-01T11:00:00+00:00,2025-01-01T12:15:00+00:00
S00264,2025-01-01T11:05:00+00:00,2025-01-01T11:45:00+00:00
S00005,2025-01-01T11:25:00+00:00,2025-01-01T15:50:00+00:00
S00025,2025-01-01T11:30:00+00:00,2025-01-01T14:00:00+00:00
S00184,2025-01-01T11:55:00+00:00,2025-01-01T15:05:00+00:00
S00303,2025-01-01T12:25:00+00:00,2025-01-01T16:35:00+00:00
S00044,2025-01-01T12:55:00+00:00,2025-01-01T15:15:00+00:00
